"Id","SalePrice"
1461,114746.181147657
1462,157156.473456693
1463,167397.766645275
1464,176908.645558404
1465,220722.979941896
1466,170762.762924334
1467,170424.599029837
1468,164026.530544336
1469,193654.333305962
1470,108637.017716281
1471,199291.333483012
1472,112752.244093273
1473,108054.72938335
1474,147395.730196232
1475,144911.902794032
1476,372944.046286179
1477,264096.147588455
1478,323151.808569975
1479,293529.087573391
1480,406438.512020466
1481,312574.509676891
1482,239680.11632981
1483,181349.45905962
1484,187791.453943129
1485,170896.518025708
1486,205143.201442548
1487,326460.132102732
1488,263607.62687772
1489,199413.649116008
1490,195103.105040801
1491,199827.134302073
1492,95391.415538483
1493,176538.000822537
1494,291939.98332059
1495,287708.396262871
1496,215839.611457639
1497,201483.583909387
1498,165903.478672776
1499,166913.153015478
1500,149836.288203797
1501,166048.898820759
1502,156410.657247871
1503,268165.29931502
1504,248338.785490997
1505,213309.866430911
1506,212684.459146158
1507,253468.061456572
1508,182626.553700246
1509,157445.020319118
1510,140564.09924786
1511,138840.790068539
1512,160952.748233862
1513,152923.143450782
1514,203447.669939716
1515,231602.349708117
1516,141994.940268021
1517,166079.554102057
1518,169608.420933045
1519,220021.020552799
1520,132235.321988584
1521,136795.114183744
1522,167379.682786344
1523,121398.239354946
1524,117687.794399404
1525,118704.89136602
1526,120923.833281821
1527,92696.7284480379
1528,149862.616027415
1529,134847.113449063
1530,170486.724670209
1531,107895.276784304
1532,96062.276513744
1533,147457.117214156
1534,144073.157191198
1535,173074.641256096
1536,110519.727024425
1537,64668.2745885464
1538,181131.417680052
1539,198858.606576327
1540,156475.031319734
1541,138245.400480341
1542,161205.177186101
1543,215128.694654754
1544,79029.303544361
1545,113343.665081895
1546,119593.470990913
1547,129683.694550685
1548,138407.634816786
1549,96497.151376411
1550,124307.530397254
1551,120839.672572597
1552,136874.815781947
1553,146323.861189902
1554,123523.487810388
1555,165460.559114875
1556,95259.8918811051
1557,119474.803750113
1558,105084.781679063
1559,118275.703301205
1560,113814.531847187
1561,194500.859361462
1562,139089.648426352
1563,114380.83782761
1564,155380.378686691
1565,132276.080007256
1566,209664.296395588
1567,76924.7154190431
1568,201797.148671133
1569,130470.16656595
1570,130013.087198582
1571,127737.737049696
1572,147679.258272744
1573,231488.414029169
1574,137809.612394685
1575,201256.617180776
1576,186899.541702771
1577,199978.014176648
1578,108184.032046385
1579,139734.137621045
1580,199264.258675702
1581,147738.835917128
1582,116630.12368468
1583,311127.689031078
1584,234001.043475592
1585,149341.676896903
1586,79968.8949997867
1587,102185.012633302
1588,138314.733814293
1589,105908.144246995
1590,142076.359621963
1591,111245.128344759
1592,128210.138879991
1593,114117.906950272
1594,188282.283453555
1595,136796.319920898
1596,237596.786717869
1597,194158.299743937
1598,190447.795783968
1599,203762.195720673
