"Id","SalePrice"
1461,118836.876094319
1462,162741.462662667
1463,166691.78767775
1464,183382.632519183
1465,221971.167144875
1466,176946.886224434
1467,166904.199025323
1468,167623.370558446
1469,210286.826036682
1470,102813.407594531
1471,208816.548639601
1472,117496.957355376
1473,108726.959143107
1474,158477.104179948
1475,146895.618968068
1476,343278.85827911
1477,271016.113717394
1478,306782.625409299
1479,288643.541560787
1480,413898.127410133
1481,308968.285246567
1482,237439.014361849
1483,183915.855268856
1484,189437.671450408
1485,172835.601286199
1486,211792.739499297
1487,325503.607422278
1488,274068.462941779
1489,206510.865311605
1490,200944.645179074
1491,208636.284792032
1492,98659.651598817
1493,181448.407829241
1494,294048.601406403
1495,290606.343879473
1496,223518.665545517
1497,213771.354480584
1498,173248.815061347
1499,173525.833800183
1500,154198.160438797
1501,171891.870557599
1502,163685.69268994
1503,277086.563254985
1504,251491.924052983
1505,225619.870544252
1506,214547.509520829
1507,252173.287791654
1508,197007.666642019
1509,172456.267334764
1510,147631.123515181
1511,145931.784884033
1512,165308.915570494
1513,160788.706787342
1514,172375.906028782
1515,209114.794851907
1516,148706.866463658
1517,158069.410953465
1518,171310.230221433
1519,227519.259516554
1520,127146.813030511
1521,133258.976737705
1522,181234.406441947
1523,108983.552741265
1524,108892.135499959
1525,108629.923056777
1526,110384.048212897
1527,95962.369959177
1528,146888.341891302
1529,138723.410027472
1530,183904.950369724
1531,117596.137666799
1532,81869.1276913979
1533,155692.770237924
1534,143660.481282841
1535,160126.950591547
1536,118667.874287397
1537,68422.5457036613
1538,194560.791530446
1539,214774.242839002
1540,142747.036157297
1541,162378.322955203
1542,158935.379868619
1543,222993.936798914
1544,60804.8332234141
1545,115165.64507924
1546,131375.487476018
1547,124643.52372388
1548,142959.960388646
1549,111154.411421279
1550,129641.470669341
1551,127451.828653782
1552,147338.897361793
1553,145256.535707185
1554,133036.606537864
1555,160209.031528861
1556,97068.7656842534
1557,117215.976415717
1558,102372.225838408
1559,110466.961254813
1560,128976.66556035
1561,159153.500489411
